Country,Internet_Access,Digital_Skills,EGovernment_Use,Cloud_Computing,Internet_Access_Norm,Digital_Skills_Norm,EGovernment_Use_Norm,Cloud_Computing_Norm,Connectivity_SubIndex,DigitalSkills_SubIndex,EGovernment_SubIndex,BusinessDigitalisation_SubIndex,EDRI_Score,Rank,PC1,PC2,Cluster,Cluster_Label
Hungary,94.78,58.89,77.17,37.1,71.3131313131313,56.685464798981265,76.65410113089823,38.94557823129252,71.3131313131313,56.685464798981265,76.65410113089823,38.94557823129252,60.89956886857583,11,0.6157372148318684,0.33686536586663773,1,Medium Digital Readiness
Czechia,94.56,69.11,64.94,35.2,69.83164983164988,75.27742404948154,60.75653191212791,35.71428571428572,69.83164983164988,75.27742404948154,60.75653191212791,35.71428571428572,60.394972876886264,12,0.5821743228624365,0.01194138397308122,1,Medium Digital Readiness
Cyprus,94.92,49.46,73.64,45.5,72.25589225589226,39.53065308350009,72.06551410373066,53.2312925170068,72.25589225589226,39.53065308350009,72.06551410373066,53.2312925170068,59.270837990032454,13,0.4494328353673622,0.38761275156404285,1,Medium Digital Readiness
Austria,94.96,64.68,64.05,35.6,72.52525252525243,67.21848280880482,59.59963603275705,36.394557823129254,72.52525252525243,67.21848280880482,59.59963603275705,36.394557823129254,58.934482297485886,14,0.45667662954654054,0.20375264520063147,1,Medium Digital Readiness
Spain,96.83,66.44,61.56,27.2,85.11784511784504,70.42022921593596,56.36292733653971,22.10884353741497,85.11784511784504,70.42022921593596,56.36292733653971,22.10884353741497,58.50246130193392,15,0.4234993931899333,0.7737171113861053,1,Medium Digital Readiness
France,94.44,60.14,70.72,22.9,69.02356902356905,58.959432417682386,68.26985571298583,14.795918367346935,69.02356902356905,58.959432417682386,68.26985571298583,14.795918367346935,52.762193880396055,16,0.019925551258844154,0.5646398689860495,1,Medium Digital Readiness
Slovenia,94.13,46.7,64.52,36.0,66.9360269360269,34.50973258140805,60.2105810477057,37.07482993197279,66.9360269360269,34.50973258140805,60.2105810477057,37.07482993197279,49.68279262427837,17,-0.27453293310967924,0.4906107964648532,1,Medium Digital Readiness
Poland,95.89,44.3,43.22,46.5,78.78787878787875,30.143714753501904,32.52307292343689,54.931972789115655,78.78787878787875,30.143714753501904,32.52307292343689,54.931972789115655,49.096659813483306,18,-0.3965460173595496,0.5800846164319219,1,Medium Digital Readiness
Italy,93.41,45.75,41.93,55.1,62.08754208754203,32.7815171911952,30.846223839854417,69.55782312925172,62.08754208754203,32.7815171911952,30.846223839854417,69.55782312925172,48.81827656196084,19,-0.41263500499663286,-0.23133748325511821,1,Medium Digital Readiness
Lithuania,90.38,52.91,69.09,33.6,41.68350168350162,45.80680371111516,66.15104640582348,32.993197278911566,41.68350168350162,45.80680371111516,66.15104640582348,32.993197278911566,46.65863726983795,20,-0.44694991318097566,-0.4196470325950104,1,Medium Digital Readiness
Latvia,94.33,45.34,65.07,29.0,68.28282828282829,32.03565581226125,60.92551670349668,25.17006802721089,68.28282828282829,32.03565581226125,60.92551670349668,25.17006802721089,46.60351720644928,21,-0.49808181939246654,0.7527654245955343,1,Medium Digital Readiness
Portugal,90.6,55.97,64.69,32.3,43.16498316498314,51.37347644169548,60.431561159495644,30.782312925170068,43.16498316498314,51.37347644169548,60.431561159495644,30.782312925170068,46.43808342283609,22,-0.46457452807072863,-0.43839166115432326,1,Medium Digital Readiness
Germany,92.65,52.4,45.02,38.5,56.969696969697,44.8790249226851,34.86286234238919,41.3265306122449,56.969696969697,44.8790249226851,34.86286234238919,41.3265306122449,44.50952871175405,23,-0.68207005101674,-0.13649391666709557,1,Medium Digital Readiness
Slovakia,90.54,51.31,61.43,30.2,42.76094276094284,42.896125159177735,56.19394254517094,27.2108843537415,42.76094276094284,42.896125159177735,56.19394254517094,27.2108843537415,42.26547370475825,24,-0.7917316532701414,-0.2881150815300426,1,Medium Digital Readiness
Croatia,88.37,58.95,44.53,40.7,28.148148148148152,56.79461524467893,34.22591966722995,45.06802721088436,28.148148148148152,56.79461524467893,34.22591966722995,45.06802721088436,41.059177567735354,25,-0.8994441258034883,-1.312693662424919,1,Medium Digital Readiness
Türkiye,96.45,33.11,70.34,14.2,82.55892255892252,9.787156630889577,67.7759001689848,0.0,82.55892255892252,9.787156630889577,67.7759001689848,0.0,40.03049483969922,26,-1.0015621201831741,1.9478118009481293,1,Medium Digital Readiness
Greece,86.89,52.22,52.21,18.1,18.181818181818244,44.551573585592145,44.209021188093075,6.632653061224492,18.181818181818244,44.551573585592145,44.209021188093075,6.632653061224492,28.39376650418199,27,-1.8041755298016022,-0.8469235983963732,2,Low Digital Readiness
Serbia,88.85,33.61,45.98,28.4,31.380471380471363,10.69674367837002,36.11075003249707,24.14965986394558,31.380471380471363,10.69674367837002,36.11075003249707,24.14965986394558,25.58440623882101,28,-2.1024745011457573,-0.21142053150756787,2,Low Digital Readiness
Montenegro,84.5,52.02,26.26,28.0,2.087542087542147,44.18773876659997,10.477057064864162,23.46938775510204,2.087542087542147,44.18773876659997,10.477057064864162,23.46938775510204,20.05543141852708,29,-2.481735057133759,-1.7357120707979903,2,Low Digital Readiness
Bulgaria,92.12,35.52,24.54,14.2,53.40067340067344,14.171366199745329,8.241258286754192,0.0,53.40067340067344,14.171366199745329,8.241258286754192,0.0,18.95332447179324,30,-2.6396134603019936,0.7291186361581556,2,Low Digital Readiness
Romania,94.57,27.73,18.2,15.5,69.89898989898984,0.0,0.0,2.2108843537414984,69.89898989898984,0.0,0.0,2.2108843537414984,18.027468563182836,31,-2.7600424218409207,1.4152815089932667,2,Low Digital Readiness
Bosnia and Herzegovina,84.19,30.08,21.62,18.1,0.0,4.275059123158087,4.445599896009362,6.632653061224492,0.0,4.275059123158087,4.445599896009362,6.632653061224492,3.8383280200979852,32,-3.7428644773054875,-0.9871360199730093,2,Low Digital Readiness
